college_name,rating,location,courses_offered,tution_fee,exams_accepted,highest_package
GLA University,4.3,UTTAR PRADESH,B.Tech / B.E.,"₹4,63,000",Highest Package,11
Dwarakadas J Sanghvi College of Engineering,4.4,MAHARASHTRA,B.Tech / B.E.,"₹7,65,000",Maharashtra CET,38
Rajalakshmi Engineering College (REC),4.1,TAMIL NADU,B.Tech / B.E.,"₹1,74,000",TNEA,12
Shri Ramdeobaba college of Engineering and Management,4.3,MAHARASHTRA,B.Tech / B.E.,"₹5,48,500",JEE Main,20
G Pulla Reddy Engineering College,4.4,ANDHRA PRADESH,B.Tech / B.E.,"₹3,20,000",AP EAMCET,10
SDM College of Engineering & Technology,4.3,KARNATAKA,B.Tech / B.E.,"₹3,86,000",KCET,
Sri Sairam Engineering College,4.8,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",TNEA,9
RVR and JC College of Engineering - RVRJCCE,3.5,ANDHRA PRADESH,B.Tech / B.E.,"₹6,07,500","AP EAMCET, JEE Main",52
Pimpri Chinchwad College of Engineering,4,MAHARASHTRA,B.Tech / B.E.,"₹3,54,500","JEE Main, Maharashtra CET",8
Nitte Meenakshi Institute of Technology - NMIT,4.6,KARNATAKA,B.Tech / B.E.,"₹2,14,000","COMEDK UGET, KCET",15
Sikkim Manipal University,3.7,SIKKIM,B.Tech / B.E.,"₹6,16,000",MU OET,
VR Siddhartha Engineering College,4,ANDHRA PRADESH,B.Tech / B.E.,"₹4,48,000",AP EAMCET,45
Presidency University,4,KARNATAKA,B.Tech / B.E.,"₹10,00,000",-,
Fr Conceicao Rodrigues College of Engineering,3.2,MAHARASHTRA,B.Tech / B.E.,"₹5,64,000",Maharashtra CET,35
Cambridge Engineering College,3.5,KARNATAKA,B.Tech / B.E.,Get Fee Details,-,
HKBK College of Engineering,3.1,KARNATAKA,B.Tech / B.E.,"₹5,76,000",KCET,6
Shah & Anchor Kutchhi Engineering College,3.5,MAHARASHTRA,B.Tech / B.E.,"₹3,40,000",Maharashtra CET,
SIES Graduate School of Technology,4,MAHARASHTRA,B.Tech / B.E.,"₹5,84,000",-,
Chandigarh Group of Colleges - Jhanjeri (CGC Jhanjeri),4.1,PUNJAB,B.Tech / B.E.,"₹5,14,500",JEE Main,32
Amity University-Lucknow,4.2,UTTAR PRADESH,B.Tech / B.E.,"₹10,59,000",-,45
Shri Ram Institute of Technology,5,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,JEE Main,
Guru Nanak Institute of Technology (GNIT) - Kolkata,4.6,WEST BENGAL,B.Tech / B.E.,Get Fee Details,WBJEE,
Dr DY Patil Institute of Technology,4.2,MAHARASHTRA,B.Tech / B.E.,"₹4,07,000","JEE Main, Maharashtra CET",
MIT World Peace University - MIT WPU,4.2,MAHARASHTRA,B.Tech / B.E.,"₹4,19,000",JEE Main,44
CMR Technical Campus,3.8,TELANGANA,B.Tech / B.E.,"₹3,20,000",-,
Maulana Abul Kalam Azad University of Technology,4.4,WEST BENGAL,B.Tech / B.E.,Get Fee Details,-,
Anurag University,4.2,TELANGANA,B.Tech / B.E.,"₹5,00,000",-,
